"price","dist1","dist2","dist3","rooms","square","floor","type1","type2","type3"
"14 500 грн","ЖК Комфорт Таун","Соцмісто","Дніпровський","1 кімната","32 / 20 / 10 м²","поверх 4 з 9","спец. проект","монолітно-каркасний","2014"
"","","","","","","","","",""
"13 999 грн","ЖМ Патріотика","Осокорки","Дарницький","1 кімната","37 / 18 / 9 м²","поверх 20 з 25","","",""
"","","","","","","","","",""
"13 000 грн","ЖМ Патріотика","Осокорки","Дарницький","1 кімната","38 / 17 / 9 м²","поверх 9 з 25","спец. проект","панельні","2018"
"95 422 грн","ЖК Cardinal","Нова забудова","Печерський","1 кімната","58 / 24 / 17 м²","поверх 7 з 22","спец. проект","монолітно-каркасний","2019"
"","","","","","","","","",""
"26 000 грн","ЖК Богатирський","Оболонь","Оболонський","1 кімната","72 / 50 / 22 м²","поверх 20 з 25","спец. проект","монолітно-каркасний","2013"
"17 000 грн","Голосіївський","Київ","","1 кімната","30 / 13 / 17 м²","поверх 18 з 25","","",""
"38 169 грн","ЖК RiverStone","Позняки","Дарницький","1 кімната","65 / 20 / 25 м²","поверх 23 з 23","спец. проект","монолітно-каркасний","2012"
"25 000 грн","ЖК Зарічний","Позняки","Дарницький","1 кімната","43 / 16 / 10 м²","поверх 10 з 26","спец. проект","монолітно-каркасний","2019"
"12 000 грн","ЖК Teleskop ( Річард Хаус)","Позняки","Дарницький","1 кімната","42 / 20 / 17 м²","поверх 23 з 25","спец. проект","монолітно-каркасний","2019"
"38 169 грн","ЖК Chicago Central House","Нова забудова","Голосіївський","1 кімната","48 / 25 / 10 м²","поверх 9 з 24","спец. проект","монолітно-каркасний","2019"
"16 000 грн","Оболонь","Оболонський","Київ","1 кімната","36 / 17 / 9 м²","поверх 3 з 9","серія 134","утеплена панель",""
"","","","","","","","","",""
"9 999 грн","Позняки","Дарницький","Київ","1 кімната","48 / 28 / 10 м²","поверх 6 з 16","серія Т","утеплена панель","1997"
"21 000 грн","ЖК Rybalsky","Рибальський острів","Подільський","1 кімната","50 / 15 / 17 м²","поверх 7 з 12","спец. проект","монолітно-каркасний","2019"
"20 000 грн","ЖК просп. Правди","Виноградар","Подільський","1 кімната","48 / 25 / 10 м²","поверх 22 з 26","","",""
"22 000 грн","ЖК пров. Тбіліський, 1/26","Шулявка","Шевченківський","1 кімната","46 / 33 / 13 м²","поверх 24 з 25","спец. проект","монолітно-каркасний","2017"
"13 500 грн","Феофанія","Голосіївський","Київ","1 кімната","41 / 18 / 12 м²","поверх 8 з 9","","",""
"17 000 грн","ЖК Adamant","Солом'янка","Солом'янський","1 кімната","49 / 25 / 13 м²","поверх 25 з 25","спец. проект","монолітно-каркасний","2018"
"","","","","","","","","",""
"29 000 грн","Київ","","","1 кімната","55 / 30 / 18 м²","поверх 24 з 32","","",""
"22 000 грн","ЖК Поетичний","Позняки","Дарницький","1 кімната","48 / 22 / 10 м²","поверх 11 з 15","АППС","утеплена панель","2014"
"8 500 грн","Оболонь","Оболонський","Київ","1 кімната","36 / 30 / 6 м²","поверх 9 з 9","гостинка","панельні","1975"
"17 000 грн","ЖК Русанівська Гавань","Микільська Слобідка","Дніпровський","1 кімната","35 / 20 / 8 м²","поверх 10 з 29","","",""
