"price","dist1","dist2","dist3","rooms","square","floor","type1","type2","type3"
"57 254 грн","ЖК Французький квартал 2","Нова забудова","Печерський","2 кімнати","58 / 30 / 15 м²","поверх 16 з 21","спец. проект","монолітно-каркасний","2021"
"","","","","","","","","",""
"19 000 грн","ЖК Голосіїво","Деміївка","Голосіївський","2 кімнати","80 / 40 / 13 м²","поверх 22 з 25","спец. проект","монолітно-каркасний","2008"
"","","","","","","","","",""
"47 711 грн","ЖК вул. Богдана Хмельницького, 58а","Історичний центр","Шевченківський","2 кімнати","55 / 25 / 15 м²","поверх 17 з 19","спец. проект","монолітно-каркасний","2013"
"45 803 грн","ЖК Французький квартал","Нижній Печерськ","Печерський","2 кімнати","70.9 / 40 / 17.3 м²","поверх 9 з 25","спец. проект","монолітно-каркасний","2016"
"","","","","","","","","",""
"13 999 грн","ЖМ Патріотика","Осокорки","Дарницький","1 кімната","37 / 18 / 9 м²","поверх 20 з 25","","",""
"13 000 грн","ЖМ Патріотика","Осокорки","Дарницький","1 кімната","38 / 17 / 9 м²","поверх 9 з 25","спец. проект","панельні","2018"
"95 422 грн","ЖК Cardinal","Нова забудова","Печерський","1 кімната","58 / 24 / 17 м²","поверх 7 з 22","спец. проект","монолітно-каркасний","2019"
"25 574 грн","ЖМ Патріотика","Осокорки","Дарницький","2 кімнати","63 / 31 / 20 м²","поверх 12 з 25","спец. проект","панельні","2018"
"114 507 грн","ЖК Chicago Central House","Нова забудова","Голосіївський","2 кімнати","100 / 90 / 5 м²","поверх 16 з 25","спец. проект","монолітно-каркасний","2019"
"32 444 грн","ЖК Respublika","Теремки","Голосіївський","2 кімнати","40 / 29 / 11 м²","поверх 2 з 9","спец. проект","монолітно-каркасний","2020"
"17 000 грн","Голосіївський","Київ","","1 кімната","30 / 13 / 17 м²","поверх 18 з 25","","",""
"","","","","","","","","",""
"38 169 грн","ЖК RiverStone","Позняки","Дарницький","1 кімната","65 / 20 / 25 м²","поверх 23 з 23","спец. проект","монолітно-каркасний","2012"
"25 000 грн","ЖК Зарічний","Позняки","Дарницький","1 кімната","43 / 16 / 10 м²","поверх 10 з 26","спец. проект","монолітно-каркасний","2019"
"38 169 грн","ЖК Chicago Central House","Нова забудова","Голосіївський","1 кімната","48 / 25 / 10 м²","поверх 9 з 24","спец. проект","монолітно-каркасний","2019"
"41 986 грн","ЖК Французький квартал 2","Нова забудова","Печерський","2 кімнати","58 / 25 / 17 м²","поверх 10 з 24","спец. проект","монолітно-каркасний","2019"
"49 238 грн","ЖК Тріумф","Верхня Теличка","Печерський","2 кімнати","90 / 75 / 15 м²","поверх 20 з 24","","",""
"12 000 грн","Печерськ","Печерський","Київ","2 кімнати","58 / 33 / 8 м²","поверх 2 з 9","цегляний будинок","1971",""
"","","","","","","","","",""
"16 000 грн","Оболонь","Оболонський","Київ","1 кімната","36 / 17 / 9 м²","поверх 3 з 9","серія 134","утеплена панель",""
"22 000 грн","ЖК пров. Тбіліський, 1/26","Шулявка","Шевченківський","1 кімната","46 / 33 / 13 м²","поверх 24 з 25","спец. проект","монолітно-каркасний","2017"
"38 169 грн","ЖК Smart Plaza Polytech","Шулявка","Шевченківський","2 кімнати","76 / 50 / 23 м²","поверх 16 з 25","спец. проект","монолітно-каркасний","2017"
"40 269 грн","ЖК вул. Підвисоцького, 4в","Чорна Гора","Печерський","2 кімнати","55 / 30 / 10 м²","поверх 11 з 24","спец. проект","монолітно-каркасний","2017"
"29 000 грн","Київ","","","1 кімната","55 / 30 / 18 м²","поверх 24 з 32","","",""
"36 261 грн","ЖК RiverStone","Позняки","Дарницький","2 кімнати","65 / 40 / 20 м²","поверх 24 з 24","спец. проект","монолітно-каркасний","2012"
"8 500 грн","Оболонь","Оболонський","Київ","1 кімната","36 / 30 / 6 м²","поверх 9 з 9","гостинка","панельні","1975"
"","","","","","","","","",""
"16 999 грн","Чорна Гора","Печерський","Київ","2 кімнати","46 / 23 / 8 м²","поверх 5 з 5","хрущівка","цегляний будинок","1966"
"34 352 грн","ЖК Квартет","Солом'янка","Солом'янський","2 кімнати","50 / 35 / 15 м²","поверх 9 з 25","спец. проект","монолітно-каркасний","2016"
"26 719 грн","Черепанова гора","Печерський","Київ","2 кімнати","93 / 71 / 15 м²","поверх 4 з 6","сталінка","цегляний будинок","1954"
"34 352 грн","ЖК Покровський посад","Кудрявець","Шевченківський","2 кімнати","76 / 40 / 35 м²","поверх 16 з 24","спец. проект","монолітно-каркасний","2014"
"72 521 грн","ЖК Бульвар Фонтанів","Нижній Печерськ","Печерський","2 кімнати","72 / 30 / 20 м²","поверх 3 з 10","спец. проект","монолітно-каркасний","2017"
"41 986 грн","ЖК Alter Ego","Черепанова гора","Печерський","2 кімнати","54 / 30 / 18 м²","поверх 12 з 26","","",""
"38 169 грн","Куренівка","Київ","","2 кімнати","80 / 50 / 20 м²","поверх 4 з 25","","",""
"53 437 грн","ЖК Бульвар Фонтанів","Нижній Печерськ","Печерський","2 кімнати","57 / 26 / 19 м²","поверх 3 з 19","спец. проект","монолітно-каркасний","2017"
"17 999 грн","Липки","Печерський","Київ","2 кімнати","50 / 35 / 7 м²","поверх 5 з 5","дореволюційний","цегляний будинок","1917"
"40 841 грн","ЖК Французький квартал 2","Нова забудова","Печерський","1 кімната","42 / 25 / 12 м²","поверх 2 з 24","спец. проект","монолітно-каркасний","2019"
