"price","dist1","dist2","dist3","rooms","square","floor","type1","type2","type3"
"32 000 грн","ЖК Парковий","Борщагівка","Святошинський","4 кімнати","132 / - / 13 м²","поверх 9 з 16","спец. проект","монолітно-каркасний","2015"
"114 900 грн","ЖК Новопечерські Липки","Чорна Гора","Печерський","4 кімнати","156 / - / 35 м²","поверх 3 з 20","монолітно-каркасний","",""
"95 750 грн","Шевченківський","Київ","","5 кімнат","150 / - / 50 м²","поверх 3 з 5","","",""
"32 000 грн","ЖК Оазис","Оболонь","Оболонський","4 кімнати","160 / - / 23 м²","поверх 15 з 15","спец. проект","монолітно-каркасний","2004"
"114 900 грн","Оболонь","Оболонський","Київ","4 кімнати","350 / - / 20 м²","поверх 5 з 5","спец. проект","монолітно-каркасний","2001"
"153 200 грн","ЖК Новопечерські Липки","Чорна Гора","Печерський","5 кімнат","200 / - / 45 м²","поверх 25 з 28","","",""
"134 050 грн","ЖК Renaissance Residence","Звіринець","Печерський","4 кімнати","180 / - / 11 м²","поверх 2 з 9","спец. проект","монолітно-каркасний","2013"
"114 900 грн","ЖК Квартет","Солом'янка","Солом'янський","5 кімнат","256 / - / 36 м²","поверх 20 з 21","спец. проект","монолітно-каркасний","2016"
"76 600 грн","Печерський","Київ","","5 кімнат","300 / - / 30 м²","поверх 24 з 24","","",""
"76 600 грн","ЖК Тріумфальна арка","Липки","Печерський","4 кімнати","146 / - / 17 м²","поверх 7 з 13","спец. проект","монолітно-каркасний","2005"
"30 640 грн","ЖК вул. Дніпровська набережна, 19, 19а, 19в, 23, 25","Позняки","Дарницький","4 кімнати","134.8 / - / 12.7 м²","поверх 18 з 25","спец. проект","монолітно-каркасний","2007"
"29 000 грн","ЖК Либідь","Нова забудова","Голосіївський","4 кімнати","90 / - / 13 м²","поверх 15 з 25","спец. проект","монолітно-каркасний","2016"
"76 600 грн","ЖК Паркове місто","Подільський","Київ","5 кімнат","210 / - / 15 м²","поверх 7 з 25","монолітно-каркасний","",""
"68 940 грн","ЖК Новопечерські Липки","Чорна Гора","Печерський","4 кімнати","140 / - / 35 м²","поверх 11 з 21","спец. проект","монолітно-каркасний","2013"
"50 160 грн","ЖК пров. Нестеровський, 6","Кудрявець","Шевченківський","5 кімнат","265 / - / 15 м²","поверх 22 з 23","спец. проект","монолітно-каркасний","2006"
"37 000 грн","Черепанова гора","Печерський","Київ","4 кімнати","80 / - / 8 м²","поверх 6 з 9","цегляний будинок","1965",""
