"price","dist1","dist2","dist3","rooms","square","floor","type1","type2","type3"
"49 000 грн","ЖК Бульвар Фонтанів","Нижній Печерськ","Печерський","1 кімната","58 / 34 / 9 м²","поверх 8 з 15","спец. проект","монолітно-каркасний","2017"
"13 000 грн","Оболонь","Оболонський","Київ","2 кімнати","46 / 31 / 7 м²","поверх 9 з 9","панельні","1974",""
"","","","","","","","","",""
"23 000 грн","Дарницький","Київ","","1 кімната","55 / 40 / 15 м²","поверх 15 з 25","","",""
"10 500 грн","Шулявка","Шевченківський","Київ","1 кімната","32 / 18 / 7 м²","поверх 5 з 5","хрущівка","цегляний будинок","1960"
"","","","","","","","","",""
"76 600 грн","ЖК Французький квартал 2","Нова забудова","Печерський","2 кімнати","76 / 40 / 20 м²","поверх 16 з 24","спец. проект","монолітно-каркасний","2017"
"42 130 грн","Клубний будинок „Chelsea Tower“","Черепанова гора","Печерський","2 кімнати","66 / 28 / 25 м²","поверх 6 з 22","спец. проект","цегляний будинок","2014"
"25 000 грн","Нова забудова","Голосіївський","Київ","1 кімната","36 / 20 / 10 м²","поверх 2 з 12","спец. проект","цегляний будинок","1986"
"25 000 грн","Печерськ","Печерський","Київ","2 кімнати","60 / 40 / 7 м²","поверх 2 з 9","совмін","цегляний будинок","1969"
"23 000 грн","ЖК Grand Park","Куренівка","Київ","1 кімната","41 / 15 / 15 м²","поверх 11 з 25","","",""
"23 000 грн","Історичний центр","Шевченківський","Київ","2 кімнати","73 / 35 / 9 м²","поверх 2 з 5","дореволюційний","цегляний будинок",""
"21 257 грн","Нова забудова","Печерський","Київ","2 кімнати","49 / 35 / 7 м²","поверх 6 з 6","дореволюційний","цегляний будинок","1917"
"","","","","","","","","",""
"20 000 грн","ЖК Авангард","Голосіїво","Голосіївський","2 кімнати","53 / 30 / 15 м²","поверх 5 з 25","спец. проект","монолітно-каркасний","2017"
"15 000 грн","Харьківський","Дарницький","Київ","2 кімнати","51 / 32 / 9 м²","поверх 6 з 9","серія 134","утеплена панель","1986"
"18 000 грн","ЖК Космополітен","Шулявка","Шевченківський","2 кімнати","78 / 40 / 20 м²","поверх 5 з 25","спец. проект","цегляний будинок","2011"
"12 500 грн","Шулявка","Солом'янський","Київ","2 кімнати","45 / 30 / 7 м²","поверх 2 з 5","сталінка","цегляний будинок","1957"
"16 000 грн","ЖК Сирецький Бояр","Сирець","Шевченківський","2 кімнати","55 / 30 / 12 м²","поверх 5 з 25","спец. проект","монолітно-каркасний","2014"
"10 000 грн","Академмістечко","Святошинський","Київ","2 кімнати","65 / 30 / 12 м²","поверх 9 з 10","спец. проект","монолітно-каркасний","2003"
"","","","","","","","","",""
