"price","dist1","dist2","dist3","rooms","square","floor","type1","type2","type3"
"16 000 грн","ЖК вул. Каховська, 60","Микільська Слобідка","Дніпровський","1 кімната","31 / 15 / 12 м²","поверх 5 з 26","цегляний будинок","2020","сьогодні о 10:24"
"14 000 грн","ЖК Яскравий","Мінський","Оболонський","1 кімната","49 / 20 / 11 м²","поверх 21 з 25","спец. проект","монолітно-каркасний","сьогодні о 16:13"
"","","","","","","","","",""
"22 980 грн","ЖК Delmar","Чорна Гора","Київ","1 кімната","35 / 20 / 10 м²","поверх 14 з 30","2019","","сьогодні о 12:46"
"9 000 грн","Соцмісто","Дніпровський","Київ","1 кімната","32 / 16 / 7 м²","поверх 4 з 5","хрущівка","панельні","сьогодні о 14:12"
"","","","","","","","","",""
"8 500 грн","Чоколівка","Солом'янський","Київ","1 кімната","33 / 26 / 7 м²","поверх 2 з 5","хрущівка","цегляний будинок","сьогодні о 13:58"
"14 000 грн","ЖК Крістер Град","Мостицький масив","Подільський","1 кімната","49 / 18.5 / 11.5 м²","поверх 5 з 25","АППС","утеплена панель","сьогодні о 15:52"
"6 500 грн","Виноградар","Подільський","Київ","1 кімната","28 / 14 / 7 м²","поверх 2 з 9","гостинка","цегляний будинок","сьогодні о 17:06"
"10 000 грн","Троєщина","Деснянський","Київ","1 кімната","30 / 20 / 8 м²","поверх 5 з 9","серія KП","цегляний будинок","сьогодні о 14:48"
"49 000 грн","ЖК Бульвар Фонтанів","Нижній Печерськ","Печерський","1 кімната","58 / 34 / 9 м²","поверх 8 з 15","спец. проект","монолітно-каркасний","сьогодні о 14:14"
"10 500 грн","Шулявка","Шевченківський","Київ","1 кімната","32 / 18 / 7 м²","поверх 5 з 5","хрущівка","цегляний будинок","сьогодні о 21:07"
"23 000 грн","Дарницький","Київ","","1 кімната","55 / 40 / 15 м²","поверх 15 з 25","","","сьогодні о 16:17"
"","","","","","","","","",""
"13 000 грн","ЖК Садовий","Микільська Слобідка","Дніпровський","1 кімната","48 / 20 / 10 м²","поверх 2 з 18","спец. проект","цегляний будинок","сьогодні о 18:36"
"25 000 грн","Нова забудова","Голосіївський","Київ","1 кімната","36 / 20 / 10 м²","поверх 2 з 12","спец. проект","цегляний будинок","сьогодні о 18:51"
"23 000 грн","ЖК Grand Park","Куренівка","Київ","1 кімната","41 / 15 / 15 м²","поверх 11 з 25","","","сьогодні о 20:43"
"17 500 грн","ЖК Харківський","Харьківський","Дарницький","1 кімната","45 / 15 / 20 м²","поверх 17 з 25","спец. проект","цегляний будинок","сьогодні о 10:41"
"11 000 грн","Троєщина","Деснянський","Київ","1 кімната","37 / 18 / 12 м²","поверх 12 з 26","","","сьогодні о 12:17"
"6 000 грн","Троєщина","Деснянський","Київ","1 кімната","30 / 15 / 6 м²","поверх 7 з 9","гостинка","цегляний будинок","сьогодні о 12:17"
"","","","","","","","","",""
"6 000 грн","Лісовий","Деснянський","Київ","1 кімната","28 / 16 / 5 м²","поверх 5 з 5","хрущівка","цегляний будинок","сьогодні о 18:02"
"12 000 грн","ЖК Міністерський","Мінський","Оболонський","1 кімната","43 / 16 / 12 м²","поверх 10 з 23","спец. проект","монолітно-каркасний","сьогодні о 13:58"
"6 500 грн","Воскресенка","Дніпровський","Київ","1 кімната","48 / 30 / 7 м²","поверх 1 з 5","хрущівка","цегляний будинок","сьогодні о 16:04"
"6 500 грн","Троєщина","Деснянський","Київ","1 кімната","40 / 18 / 8.5 м²","поверх 15 з 16","АППС","утеплена панель","сьогодні о 17:57"
"30 640 грн","ЖК Новопечерські Липки","Чорна Гора","Печерський","1 кімната","51 / 20 / 14 м²","поверх 2 з 16","спец. проект","монолітно-каркасний","сьогодні о 14:48"
"11 500 грн","ЖК Куренівський","Куренівка","Подільський","1 кімната","33 / 16 / 9 м²","поверх 3 з 6","спец. проект","цегляний будинок","сьогодні о 16:52"
"10 500 грн","Солом'янка","Солом'янський","Київ","1 кімната","36 / 18 / 9 м²","поверх 7 з 9","гостинка","панельні","сьогодні о 17:42"
"","","","","","","","","",""
"16 000 грн","ЖК вул. Каховська, 60","Микільська Слобідка","Дніпровський","1 кімната","31 / 15 / 12 м²","поверх 5 з 26","цегляний будинок","2020","сьогодні о 10:24"
"6 500 грн","Воскресенка","Дніпровський","Київ","1 кімната","42 / 18 / 9 м²","поверх 5 з 5","хрущівка","цегляний будинок","сьогодні о 09:41"
"14 000 грн","ЖК Olympik Park","Харьківський","Дарницький","1 кімната","30 / 15 / 5 м²","поверх 13 з 28","2021","","сьогодні о 18:32"
"7 000 грн","ЖК Лебединий","Харьківський","Дарницький","1 кімната","20 / 15 / 5 м²","поверх 4 з 25","","","сьогодні о 13:56"
"28 725 грн","ЖК Французький квартал 2","Нова забудова","Печерський","1 кімната","41 / 20 / 20 м²","поверх 14 з 24","спец. проект","монолітно-каркасний","сьогодні о 13:17"
"38 300 грн","Нова забудова","Шевченківський","Київ","1 кімната","66 / 30 / 30 м²","поверх 4 з 4","дореволюційний","цегляний будинок","сьогодні о 13:47"
"17 000 грн","Липки","Печерський","Київ","1 кімната","40 / 20 / 5 м²","поверх 1 з 5","сталінка","цегляний будинок","сьогодні о 14:15"
"11 000 грн","Шулявка","Шевченківський","Київ","1 кімната","32 / 20 / 7 м²","поверх 9 з 9","чеський проект","панельні","сьогодні о 13:17"
"7 300 грн","Воскресенка","Дніпровський","Київ","1 кімната","22 / 13 / 5 м²","поверх 2 з 9","гостинка","цегляний будинок","сьогодні о 10:44"
"13 500 грн","ЖМ Патріотика","Осокорки","Дарницький","1 кімната","43 / 20 / 9 м²","поверх 14 з 25","спец. проект","панельні","сьогодні о 19:12"
"12 000 грн","ЖК вул. Гарматна, 20","Шулявка","Солом'янський","1 кімната","45 / 19 / 12 м²","поверх 5 з 8","спец. проект","цегляний будинок","сьогодні о 13:43"
"7 999 грн","Олександрівська Слобідка","Солом'янський","Київ","1 кімната","30 / 18 / 6 м²","поверх 5 з 5","хрущівка","цегляний будинок","сьогодні о 15:17"
"45 960 грн","ЖК New York Concept House","Нова забудова","Голосіївський","1 кімната","42 / 16 / 12 м²","поверх 11 з 21","спец. проект","монолітно-каркасний","сьогодні о 20:50"
"12 000 грн","ЖК Метрополія","Харьківський","Дарницький","1 кімната","35 / 20 / 7 м²","поверх 10 з 25","спец. проект","монолітно-каркасний","сьогодні о 18:26"
"16 000 грн","ЖК Славутич","Позняки","Дарницький","1 кімната","43 / 11 / 19 м²","поверх 5 з 25","спец. проект","монолітно-каркасний","сьогодні о 10:36"
"7 499 грн","Лісовий","Деснянський","Київ","1 кімната","38 / 28 / 8 м²","поверх 5 з 9","БПС","утеплена панель","сьогодні о 17:06"
"12 000 грн","ЖК PARKLAND","Солом'янський","Київ","1 кімната","25 / 12 / 8 м²","поверх 1 з 4","спец. проект","монолітно-каркасний","сьогодні о 08:16"
"17 000 грн","ЖК The Lakes","Голосіївський","Київ","1 кімната","45 / 18 / 12 м²","поверх 13 з 25","АППС","утеплена панель","сьогодні о 18:32"
"6 500 грн","Борщагівка","Святошинський","Київ","1 кімната","23 / 11 / 5 м²","поверх 2 з 9","гостинка","панельні","сьогодні о 18:45"
"7 000 грн","Лісовий","Деснянський","Київ","1 кімната","34 / 19 / 7 м²","поверх 3 з 9","чеський проект","панельні","сьогодні о 09:12"
"6 000 грн","Троєщина","Деснянський","Київ","1 кімната","36 / 18 / 8 м²","поверх 3 з 9","серія Т","утеплена панель","сьогодні о 14:56"
"10 000 грн","Відрадний","Солом'янський","Київ","1 кімната","47 / 25 / 12 м²","поверх 14 з 15","спец. проект","монолітно-каркасний","сьогодні о 18:42"
"8 000 грн","Голосіїво","Голосіївський","Київ","1 кімната","39 / 20 / 9 м²","поверх 2 з 5","сталінка","цегляний будинок","сьогодні о 21:59"
"7 000 грн","Воскресенка","Дніпровський","Київ","1 кімната","36 / 20 / 8 м²","поверх 3 з 5","панельні","1966","сьогодні о 10:39"
"17 000 грн","ЖК Відпочинок","Святошино","Святошинський","1 кімната","40 / 23 / 10 м²","поверх 8 з 16","спец. проект","монолітно-каркасний","сьогодні о 12:23"
"16 000 грн","ЖК вул. Каховська, 60","Микільська Слобідка","Дніпровський","1 кімната","44 / 18 / 15 м²","поверх 17 з 25","цегляний будинок","2020","сьогодні о 13:02"
"16 000 грн","Виноградар","Подільський","Київ","1 кімната","42 / 15 / 16 м²","поверх 6 з 25","","","сьогодні о 21:46"
"13 000 грн","Осокорки","Дарницький","Київ","1 кімната","64 / 25 / 15 м²","поверх 9 з 11","спец. проект","монолітно-каркасний","сьогодні о 21:42"
"8 250 грн","Чоколівка","Солом'янський","Київ","1 кімната","26 / 14 / 8 м²","поверх 3 з 5","гостинка","цегляний будинок","сьогодні о 13:21"
"16 000 грн","ЖК Богатирський","Оболонь","Оболонський","1 кімната","36 / 16 / 9 м²","поверх 12 з 25","спец. проект","монолітно-каркасний","сьогодні о 18:32"
"13 500 грн","Саперна Слобідка","Голосіївський","Київ","1 кімната","41 / 18 / 11 м²","поверх 13 з 24","спец. проект","монолітно-каркасний","сьогодні о 14:47"
"13 500 грн","Саперна Слобідка","Голосіївський","Київ","1 кімната","49 / 18 / 13 м²","поверх 3 з 22","серія Т","утеплена панель","сьогодні о 16:45"
"14 000 грн","ЖК Герцен-Парк","Лук'янівка","Шевченківський","1 кімната","25 / 13 / 5 м²","поверх 1 з 25","спец. проект","монолітно-каркасний","сьогодні о 10:13"
"10 000 грн","Оболонь","Оболонський","Київ","1 кімната","35 / 19 / 7 м²","поверх 8 з 9","панельні","1982","сьогодні о 07:04"
"11 000 грн","ДВРЗ","Дніпровський","Київ","1 кімната","37 / 17 / 10 м²","поверх 2 з 17","","","сьогодні о 12:53"
"12 000 грн","Нова забудова","Голосіївський","Київ","1 кімната","40 / 18 / 10 м²","поверх 4 з 16","совмін","цегляний будинок","сьогодні о 19:19"
"10 000 грн","Теремки-1","Голосіївський","Київ","1 кімната","38 / 18 / 9 м²","поверх 11 з 12","серія КТ","утеплена панель","сьогодні о 19:53"
"6 000 грн","Лісовий","Деснянський","Київ","1 кімната","32 / 16 / 6 м²","поверх 2 з 5","хрущівка","цегляний будинок","сьогодні о 09:46"
"7 000 грн","Нивки","Подільський","Київ","1 кімната","23 / 13 / 5 м²","поверх 6 з 9","гостинка","цегляний будинок","сьогодні о 15:22"
"13 000 грн","ЖК Яскравий","Мінський","Оболонський","1 кімната","48 / 18 / 14 м²","поверх 2 з 25","спец. проект","монолітно-каркасний","сьогодні о 12:00"
"20 000 грн","ЖК Комфорт Таун","Дніпровський","Київ","1 кімната","47 / 15 / 20 м²","поверх 8 з 12","спец. проект","монолітно-каркасний","сьогодні о 11:00"
"15 000 грн","Олександрівська Слобідка","Солом'янський","Київ","1 кімната","58 / 24 / 10 м²","поверх 12 з 12","спец. проект","монолітно-каркасний","сьогодні о 17:10"
"12 000 грн","ЖК Осінній","Біличі","Святошинський","1 кімната","40 / 20 / 12 м²","поверх 5 з 5","спец. проект","монолітно-каркасний","сьогодні о 15:14"
"6 000 грн","Відрадний","Солом'янський","Київ","1 кімната","24 / 15 / 5 м²","поверх 1 з 5","хрущівка","цегляний будинок","сьогодні о 11:21"
"6 000 грн","Русанівка","Дніпровський","Київ","1 кімната","33 / 18 / 7 м²","поверх 5 з 9","цегляний будинок","1963","сьогодні о 12:46"
"20 000 грн","мкрн Позняки-4а","Позняки","Дарницький","1 кімната","60 / 18 / 18 м²","поверх 2 з 24","спец. проект","монолітно-каркасний","сьогодні о 11:54"
"11 000 грн","Печерський","Київ","","1 кімната","36 / 20 / 6 м²","поверх 1 з 5","","","сьогодні о 08:30"
"19 000 грн","ЖК Seven","Позняки","Дарницький","1 кімната","45 / 18 / 12 м²","поверх 10 з 25","спец. проект","монолітно-каркасний","сьогодні о 15:39"
"7 000 грн","Троєщина","Деснянський","Київ","1 кімната","40 / 18 / 9 м²","поверх 9 з 16","серія Т","утеплена панель","сьогодні о 11:50"
"13 500 грн","Позняки","Дарницький","Київ","1 кімната","54 / 15 / 14 м²","поверх 4 з 10","серія 96","утеплена панель","сьогодні о 12:54"
"16 000 грн","Микільська Слобідка","Дніпровський","Київ","1 кімната","49.6 / 17 / 15 м²","поверх 8 з 26","","","сьогодні о 10:10"
"11 500 грн","Осокорки","Дарницький","Київ","1 кімната","34 / 18 / 9 м²","поверх 9 з 12","АППС","утеплена панель","сьогодні о 14:43"
"7 000 грн","Борщагівка","Святошинський","Київ","1 кімната","36 / 20 / 8 м²","поверх 15 з 15","БПС","утеплена панель","сьогодні о 20:31"
"12 000 грн","Шулявка","Шевченківський","Київ","1 кімната","32 / 18 / 6 м²","поверх 4 з 9","чеський проект","панельні","сьогодні о 21:31"
"5 800 грн","Сирець","Шевченківський","Київ","1 кімната","30 / 19 / 4 м²","поверх 4 з 5","панельні","","сьогодні о 18:01"
