"price","dist1","dist2","dist3","rooms","square","floor","type1","type2","type3"
"22 000 грн","ЖК Respublika","Теремки","Голосіївський","1 кімната","45 / - / 16 м²","поверх 7 з 10","спец. проект","монолітно-каркасний","2020"
"13 000 грн","ЖК Respublika","Теремки","Голосіївський","1 кімната","33 / - / 10 м²","поверх 2 з 9","спец. проект","монолітно-каркасний","2019"
"21 500 грн","ЖК Срібна Вежа","Лук'янівка","Шевченківський","2 кімнати","50 / - / 10 м²","поверх 19 з 25","спец. проект","монолітно-каркасний","2015"
"84 260 грн","ЖК Skyline","Нижній Печерськ","Печерський","4 кімнати","132 / 82 / 40 м²","поверх 5 з 25","спец. проект","монолітно-каркасний","2015"
"76 600 грн","ЖК Новопечерські Липки","Чорна Гора","Печерський","3 кімнати","109 / 80 / 19 м²","поверх 10 з 20","спец. проект","монолітно-каркасний","2014"
"57 450 грн","ЖК Французький квартал 2","Нова забудова","Печерський","2 кімнати","57 / 40 / 15 м²","поверх 16 з 23","спец. проект","монолітно-каркасний","2017"
"34 470 грн","ЖК Crystal Park","Шулявка","Шевченківський","1 кімната","47 / 17 / 19 м²","поверх 5 з 10","спец. проект","монолітно-каркасний","2013"
"172 350 грн","ЖК Busov Hill","Звіринець","Печерський","2 кімнати","122 / 80 / 40 м²","поверх 9 з 14","спец. проект","монолітно-каркасний","2018"
"88 090 грн","Звіринець","Печерський","Київ","3 кімнати","83 / 45 / 20 м²","поверх 17 з 25","гостинка","цегляний будинок","1969"
"20 000 грн","Печерськ","Печерський","Київ","1 кімната","42 / 20 / 10 м²","поверх 6 з 9","спец. проект","цегляний будинок",""
"28 000 грн","ЖК Малахіт","Солом'янка","Солом'янський","3 кімнати","105 / 50 / 36 м²","поверх 7 з 12","","",""
"23 900 грн","Шулявка","Шевченківський","Київ","2 кімнати","55 / 20 / 22 м²","поверх 21 з 25","хрущівка","цегляний будинок","1965"
"22 980 грн","ЖК Французький квартал","Нижній Печерськ","Печерський","1 кімната","42 / 20 / 10 м²","поверх 14 з 14","спец. проект","монолітно-каркасний","2015"
"22 000 грн","Старий Київ","Шевченківський","Київ","1 кімната","29 / 20 / 8 м²","поверх 2 з 4","цегляний будинок","",""
"18 000 грн","Лівобережний масив","Дніпровський","Київ","2 кімнати","56 / 32 / 8 м²","поверх 9 з 12","спец. проект","цегляний будинок","1975"
"22 980 грн","Деміївка","Голосіївський","Київ","2 кімнати","86 / 50 / 10 м²","поверх 10 з 21","спец. проект","монолітно-каркасний","2006"
"32 000 грн","ЖК Метрополіс","Теремки-1","Голосіївський","2 кімнати","62 / 1 / 1 м²","поверх 30 з 34","спец. проект","монолітно-каркасний","2021"
"17 000 грн","ЖК Елегант","Нова забудова","Шевченківський","1 кімната","41 / 18 / 12 м²","поверх 22 з 32","спец. проект","монолітно-каркасний","2013"
"53 620 грн","ЖК Французький квартал","Нижній Печерськ","Печерський","3 кімнати","78 / 40 / 30 м²","поверх 12 з 12","спец. проект","монолітно-каркасний","2015"
"34 470 грн","ЖК Тридцять восьма перлина","Нова забудова","Голосіївський","2 кімнати","51 / 30 / 12 м²","поверх 15 з 22","спец. проект","монолітно-каркасний","2019"
"16 000 грн","Солдатська слобідка","Шевченківський","Київ","1 кімната","30 / 15 / 8 м²","поверх 9 з 9","цегляний будинок","1966",""
"57 450 грн","ЖК Crystal Park","Шулявка","Шевченківський","3 кімнати","86 / 40 / 30 м²","поверх 9 з 20","спец. проект","монолітно-каркасний","2013"
"88 090 грн","Нова забудова","Печерський","Київ","4 кімнати","230 / 150 / 30 м²","поверх 16 з 19","спец. проект","монолітно-каркасний","2005"
"88 090 грн","ЖК Новопечерські Липки","Чорна Гора","Печерський","4 кімнати","150 / 80 / 18 м²","поверх 7 з 18","спец. проект","монолітно-каркасний","2012"
"45 960 грн","ЖК New York Concept House","Нова забудова","Голосіївський","2 кімнати","60 / 55 / 5 м²","поверх 15 з 21","спец. проект","монолітно-каркасний","2018"
"42 130 грн","ЖК Творець","Чорна Гора","Печерський","3 кімнати","145 / 60 / 25 м²","поверх 12 з 25","","",""
"28 000 грн","ЖК Cardinal","Нова забудова","Печерський","1 кімната","51 / 25 / 20 м²","поверх 13 з 20","спец. проект","монолітно-каркасний","2019"
"55 535 грн","ЖК Печерський квартал","Чорна Гора","Печерський","4 кімнати","150 / 120 / 30 м²","поверх 14 з 22","спец. проект","монолітно-каркасний","2012"
"38 300 грн","Печерськ","Печерський","Київ","3 кімнати","120 / 70 / 20 м²","поверх 12 з 24","спец. проект","цегляний будинок","1995"
