price,dist1,dist2,dist3,rooms,square,floor,type1,type2,type3,metro
30 000 грн,ЖК Династія,Солом'янка,Солом'янський,3 кімнати,85 / 1 / 1 м²,поверх 16 з 24,спец. проект,монолітно-каркасний,сьогодні о 10:03,0
20 000 грн,Лук'янівка,Шевченківський,Київ,3 кімнати,75 / 36 / 10 м²,поверх 3 з 7,сталінка,цегляний будинок,сьогодні о 09:41,0
30 000 грн,"ЖК вул. Павловська, 26/41",Солдатська слобідка,Шевченківський,4 кімнати,132 / 77 / 17 м²,поверх 6 з 23,спец. проект,монолітно-каркасний,сьогодні о 14:17,0
22 980 грн,Лук'янівка,Шевченківський,Київ,3 кімнати,85 / 60 / 10 м²,поверх 3 з 5,сталінка,цегляний будинок,19 січня,0
17 000 грн,Караваєві Дачі,Солом'янський,Київ,3 кімнати,82 / 40 / 15 м²,поверх 3 з 12,серія КТ,утеплена панель,18 січня,0
107 240 грн,ЖК Crystal Park,Шулявка,Шевченківський,4 кімнати,165 / 90 / 10 м²,поверх 8 з 9,спец. проект,монолітно-каркасний,22 січня,0
68 940 грн,ЖК Новопечерські Липки,Чорна Гора,Печерський,4 кімнати,140 / 80 / 30 м²,поверх 11 з 17,спец. проект,монолітно-каркасний,22 січня,0
57 450 грн,ЖК RiverStone,Позняки,Дарницький,3 кімнати,121 / 80 / 10 м²,поверх 14 з 24,спец. проект,монолітно-каркасний,вчора о 12:16,0
57 450 грн,ЖК Тріумфальна арка,Липки,Печерський,3 кімнати,118 / 45 / 38 м²,поверх 4 з 11,спец. проект,монолітно-каркасний,23 січня,0
38 300 грн,Старий Київ,Шевченківський,Київ,3 кімнати,80 / 46 / 20 м²,поверх 3 з 5,сталінка,цегляний будинок,сьогодні о 20:19,0
45 960 грн,Печерськ,Печерський,Київ,3 кімнати,115 / 80 / 25 м²,поверх 6 з 9,совмін,цегляний будинок,сьогодні о 19:14,0
25 000 грн,Позняки,Дарницький,Київ,3 кімнати,110 / 50 / 15 м²,поверх 5 з 16,спец. проект,монолітно-каркасний,19 січня,0
11 000 грн,Борщагівка,Святошинський,Київ,4 кімнати,82 / 45 / 10 м²,поверх 9 з 9,серія 87,цегляний будинок,вчора о 11:59,0
103 410 грн,ЖК Botanic Paradise,Нова забудова,Шевченківський,4 кімнати,230 / 110 / 20 м²,поверх 9 з 10,спец. проект,монолітно-каркасний,сьогодні о 09:58,0
38 300 грн,"ЖК вул. Старонаводницька, 6б",Печерськ,Печерський,3 кімнати,96 / 43 / 18 м²,поверх 22 з 22,спец. проект,цегляний будинок,сьогодні о 14:14,0
39 000 грн,Солдатська слобідка,Шевченківський,Київ,3 кімнати,150 / 90 / 20 м²,поверх 16 з 17,спец. проект,монолітно-каркасний,23 січня,0
45 960 грн,Кудрявець,Шевченківський,Київ,4 кімнати,158 / 90 / 20 м²,поверх 17 з 25,спец. проект,монолітно-каркасний,22 січня,0
29 000 грн,Шевченківський,Київ,,3 кімнати,74.8 / 37 / 25 м²,поверх 20 з 25,,,сьогодні о 13:12,0
49 790 грн,ЖК Park Avenue VIP,Деміївка,Голосіївський,3 кімнати,110 / 60 / 17 м²,поверх 8 з 24,спец. проект,монолітно-каркасний,сьогодні о 11:04,0
18 000 грн,Нижній Печерськ,Печерський,Київ,3 кімнати,74.4 / 48.5 / 8 м²,поверх 11 з 12,спец. проект,цегляний будинок,16 січня,0
14 000 грн,Троєщина,Деснянський,Київ,3 кімнати,75 / 45 / 9 м²,поверх 6 з 16,АППС,утеплена панель,сьогодні о 12:12,0
49 790 грн,ЖК Парк-холл Горький,Нова забудова,Голосіївський,3 кімнати,120 / 35 / 30 м²,поверх 7 з 10,спец. проект,монолітно-каркасний,сьогодні о 11:02,0
50 500 грн,ЖК Покровський посад,Кудрявець,Шевченківський,4 кімнати,130 / 90 / 30 м²,поверх 12 з 22,спец. проект,монолітно-каркасний,сьогодні о 11:24,0
68 940 грн,ЖК Crystal Park,Шулявка,Шевченківський,3 кімнати,118 / 50 / 30 м²,поверх 4 з 9,спец. проект,монолітно-каркасний,вчора о 17:07,0
38 300 грн,Солдатська слобідка,Шевченківський,Київ,6 кімнат,330 / 150 / 17 м²,поверх 8 з 9,спец. проект,цегляний будинок,сьогодні о 12:54,0
44 500 грн,ЖК Парк Стоун,Оболонь,Оболонський,3 кімнати,100 / 74 / 20 м²,поверх 17 з 20,спец. проект,монолітно-каркасний,сьогодні о 08:38,0
38 300 грн,ЖК Корона Печерська,Печерськ,Печерський,4 кімнати,210.5 / 100 / 14 м²,поверх 16 з 27,спец. проект,монолітно-каркасний,вчора о 11:15,0
10 000 грн,Нивки,Шевченківський,Київ,3 кімнати,70 / 42 / 8 м²,поверх 1 з 5,серія 87,цегляний будинок,13 січня,0
13 000 грн,Лук'янівка,Шевченківський,Київ,3 кімнати,62 / 43 / 7 м²,поверх 5 з 9,цегляний будинок,,15 січня,0
24 990 грн,ЖК Казка,Феофанія,Голосіївський,3 кімнати,80 / 50 / 20 м²,поверх 7 з 8,цегляний будинок,2017,сьогодні о 13:08,0
25 500 грн,"ЖК вул. Дніпровська набережна, 19, 19а, 19в, 23, 25",Позняки,Дарницький,3 кімнати,104 / 53 / 16 м²,поверх 9 з 20,спец. проект,монолітно-каркасний,22 січня,0
68 940 грн,ЖК Рів'єра Ріверсайд,Лівобережний масив,Дніпровський,3 кімнати,183 / 71 / 57 м²,поверх 9 з 10,спец. проект,монолітно-каркасний,вчора о 08:57,0
45 960 грн,Солдатська слобідка,Шевченківський,Київ,3 кімнати,120 / 50 / 47 м²,поверх 7 з 16,спец. проект,монолітно-каркасний,2 січня,0
45 960 грн,Липки,Печерський,Київ,4 кімнати,160 / 75 / 25 м²,поверх 3 з 6,,,сьогодні о 13:06,0
229 800 грн,Київ,,,5 кімнат,367 / 200 / 10 м²,поверх 5 з 6,спец. проект,монолітно-каркасний,22 січня,0
61 280 грн,ЖК Дипломат-холл,Нова забудова,Голосіївський,4 кімнати,165 / 90 / 30 м²,поверх 3 з 17,спец. проект,монолітно-каркасний,сьогодні о 08:44,0
