price,district,rooms,floor,metro,total_area,kitchen_area,floor_total
38300,Шевченківський,3,23.0,1,120.0,20.0,25.0
28000,Шевченківський,3,5.0,1,120.0,40.0,18.0
42130,Печерський,1,24.0,1,50.0,10.0,25.0
15000,Голосіївський,1,21.0,1,30.0,7.0,25.0
65110,Печерський,3,10.0,1,90.0,30.0,29.0
45960,Шевченківський,1,8.0,1,50.0,18.0,8.0
18000,Голосіївський,2,25.0,1,72.0,10.0,25.0
19000,Голосіївський,1,7.0,1,42.0,16.0,24.0
30000,Печерський,2,8.0,1,65.0,10.0,26.0
42130,Печерський,2,19.0,1,55.0,24.0,24.0
22999,Печерський,2,6.0,1,47.0,8.0,6.0
42130,Подільський,3,2.0,1,110.0,30.0,5.0
26810,Печерський,1,9.0,1,53.0,8.0,25.0
22000,Дарницький,1,21.0,1,43.0,14.0,33.0
51705,Печерський,2,3.0,1,57.0,13.0,14.0
61280,Печерський,3,12.0,1,85.0,15.0,25.0
20000,Дарницький,3,3.0,1,127.0,17.0,18.0
10000,Голосіївський,1,10.0,1,35.0,8.0,16.0
49790,Печерський,2,5.0,1,65.0,45.0,5.0
15999,Шевченківський,2,5.0,1,51.0,7.0,9.0
12999,Печерський,1,2.0,1,30.0,6.0,5.0
65110,Голосіївський,5,16.0,1,204.0,20.0,16.0
42130,Шевченківський,3,4.0,1,84.0,9.4,9.0
42130,Печерський,1,9.0,1,52.0,12.0,15.0
34470,Подільський,1,2.0,1,40.0,15.0,5.0
20000,Шевченківський,1,5.0,1,30.0,10.0,34.0
13900,Солом'янський,2,2.0,1,49.0,10.0,9.0
32555,Печерський,2,4.0,1,54.0,18.0,23.0
53620,Печерський,2,12.0,1,75.0,23.0,25.0
12000,Голосіївський,2,5.0,1,50.0,9.0,9.0
11000,Деснянський,2,8.0,1,52.0,8.0,9.0
30000,Печерський,2,5.0,1,50.0,27.0,5.0
15000,Шевченківський,2,2.0,1,47.0,15.0,9.0
12000,Оболонський,3,4.0,1,71.0,11.0,9.0
45960,Печерський,4,14.0,1,206.0,22.0,18.0
12000,Оболонський,1,8.0,1,38.0,8.0,9.0
5400,Дніпровський,2,3.0,1,48.0,8.0,5.0
12000,Печерський,1,6.0,1,25.0,6.0,9.0
9999,Солом'янський,2,2.0,1,45.0,7.0,5.0
9000,Шевченківський,1,3.0,1,38.0,9.0,9.0
35000,Печерський,2,10.0,1,56.0,15.0,24.0
45960,Дніпровський,3,12.0,1,105.0,22.0,23.0
95750,Шевченківський,4,6.0,1,156.0,35.0,23.0
13999,Голосіївський,1,10.0,1,30.0,5.0,25.0
18280,Печерський,2,5.0,1,46.0,8.0,5.0
12000,Печерський,2,5.0,1,46.0,6.0,5.0
5799,Шевченківський,1,4.0,1,30.0,6.0,5.0
10500,Шевченківський,2,1.0,1,42.0,6.0,5.0
9000,Шевченківський,1,2.0,1,46.0,9.0,16.0
10999,Голосіївський,1,6.0,1,38.0,10.0,6.0
9500,Оболонський,2,15.0,1,48.0,8.0,16.0
30000,Шевченківський,2,23.0,1,40.0,20.0,25.0
16000,Печерський,1,3.0,1,39.0,9.0,5.0
38300,Дарницький,2,18.0,1,84.0,20.0,23.0
35000,Шевченківський,3,17.0,1,120.0,15.0,22.0
6500,Дарницький,1,1.0,1,27.0,6.0,9.0
16000,Дарницький,2,3.0,1,72.0,12.0,17.0
14000,Дарницький,1,10.0,1,44.0,12.0,25.0
13000,Дарницький,1,14.0,1,37.0,12.0,25.0
22000,Печерський,2,5.0,1,43.0,7.0,9.0
14000,Шевченківський,2,7.0,1,55.0,9.0,9.0
20000,Дарницький,2,16.0,1,75.0,15.0,25.0
21000,Голосіївський,1,6.0,1,42.0,17.0,8.0
40215,Печерський,2,8.0,1,58.0,18.0,24.0
12000,Дарницький,1,18.0,1,56.0,12.0,25.0
17000,Святошинський,2,4.0,1,60.0,10.0,5.0
11000,Шевченківський,2,14.0,1,54.0,9.0,16.0
16000,Печерський,1,2.0,1,40.0,8.0,6.0
11500,Дніпровський,3,4.0,1,72.0,8.0,9.0
15000,Голосіївський,3,16.0,1,70.0,9.0,16.0
22000,Голосіївський,1,3.0,1,40.0,17.0,9.0
38300,Голосіївський,3,9.0,1,110.0,32.0,12.0
134050,Печерський,3,9.0,1,116.0,34.0,23.0
35000,Печерський,3,12.0,1,110.0,18.0,25.0
